,timestamp,bng_subscribers,device_name,vendor,model,os,version,hw_revision,role,ip_address
0,1668093542,102313.5003652436,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
1,1668093842,106836.73351551364,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
2,1668094142,101307.3247555918,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
3,1668094442,102596.78894491638,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
4,1668094742,104754.78209242814,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
5,1668095042,102207.64105412399,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
6,1668095342,102315.92533058432,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
7,1668095642,100838.74280928186,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
8,1668095942,101038.77158151203,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
9,1668096242,106889.51533884641,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
10,1668096542,104882.93905014172,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
11,1668096842,108429.82726520937,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
12,1668097142,111913.1064841054,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
13,1668097442,113533.71922206423,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
14,1668097742,109081.76243219973,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
15,1668098042,113278.96041796137,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
16,1668098342,111979.29722521434,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
17,1668098642,113230.71642708711,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
18,1668098942,117176.86224474158,PE-4,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.4
