,timestamp,bng_subscribers,device_name,vendor,model,os,version,hw_revision,role,ip_address
0,1664582401,700.5728752592498,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
1,1664582701,699.1801295138062,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
2,1664583001,708.9986837729517,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
3,1664583301,688.5177263045755,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
4,1664583601,718.2039767622501,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
5,1664583901,722.7957506450316,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
6,1664584201,719.8376418249306,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
7,1664584501,736.2933051764222,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
8,1664584801,681.3959997565354,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
9,1664585101,649.3942256235175,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
10,1664585401,651.9217652651248,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
11,1664585701,621.3181401032969,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
12,1664586001,558.9791673759778,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
13,1664586301,116.50757928264859,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
14,1664586601,544.5018705363134,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
15,1664586901,497.38833498695203,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
16,1664587201,112.9000523470284,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
17,1664587501,112.47622627598855,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
18,1664587801,492.962508927247,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
19,1664588101,495.5528622942094,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
20,1664588401,490.287286574845,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
21,1664588701,428.1902742598137,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
22,1664589001,427.3648099110953,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
23,1664589301,419.4329301086743,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
24,1664589601,397.2320241612441,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
25,1664589901,403.131053393621,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
26,1664590201,397.24422426226704,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
27,1664590501,398.6202705112892,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
28,1664590801,392.557201978986,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
29,1664591101,386.568417369231,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
30,1664591401,328.1504694316981,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
31,1664591701,328.2737547369079,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
32,1664592001,334.6036374026191,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
33,1664592301,323.6992079595871,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
34,1664592601,321.5804858141331,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
35,1664592901,326.3237482140179,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
36,1664593201,299.7256279543159,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
37,1664593501,303.89796808236633,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
38,1664593801,295.0358521455804,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
39,1664594101,94.40691773813386,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
40,1664594401,289.0809582191706,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
41,1664594701,293.66375844083,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
42,1664595001,263.622914689038,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
43,1664595301,261.6029095509619,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
44,1664595601,268.3579769740113,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
45,1664595901,269.54234916347457,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
46,1664596201,275.61940520209345,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
47,1664596501,269.1677772636918,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
48,1664596801,235.2554038901896,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
49,1664597101,235.5348571516443,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
50,1664597401,236.7597608413247,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
51,1664597701,273.35667575717264,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
52,1664598001,266.0781268797957,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
53,1664598301,268.6033479450872,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
54,1664598601,267.1100535086881,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
55,1664598901,268.1797881690276,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
56,1664599201,265.26139233035815,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
57,1664599501,328.71531738212667,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
58,1664599801,340.7866705644983,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
59,1664600101,334.2905449398933,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
60,1664600401,412.413876326798,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
61,1664600701,404.14810282675535,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
62,1664601001,392.8252358951009,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
63,1664601301,425.07328287070004,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
64,1664601601,429.8587139467005,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
65,1664601901,425.27223039744115,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
66,1664602201,529.5556571465643,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
67,1664602501,545.8958042130303,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
68,1664602801,534.3139277927638,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
69,1664603101,574.5743452967563,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
70,1664603401,582.4362702982982,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
71,1664603701,593.4585055972641,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
72,1664604001,628.3294074559032,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
73,1664604301,631.1435501328584,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
74,1664604601,655.5313548183085,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
75,1664604901,727.6603426163956,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
76,1664605201,697.5308075343029,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
77,1664605501,713.4579969043634,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
78,1664605801,1073.0821855790005,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
79,1664606101,1019.6048870183198,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
80,1664606401,1027.0446554603986,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
81,1664606701,1195.8723054535328,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
82,1664607001,1232.1448897613873,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
83,1664607301,1191.3924050421185,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
84,1664607601,1346.147170847682,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
85,1664607901,1304.1034539185246,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
86,1664608201,1384.3506912403182,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
87,1664608501,1649.0256977107779,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
88,1664608801,1691.94410123696,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
89,1664609101,1656.6802982345941,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
90,1664609401,2050.11675569244,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
